"Timestamp","Ikä?","Sukupuoli?","Olen juossut viimeisen vuoden aikana","Viimeisen vuoden aikana teen vähintään puolituntia kestävää liikuntaa","Viimeisin Cooper-tulokseni (valitse lähin)","Tavoitteenani on","Haaveissani olisi","Isoimmat esteet haaveilleni ovat kaiketi","Olen käynyt yhteislenkillä","Yhteislenkki oli (jos osallistuit)","Minulle käteviä treenipaikkoja olisivat","Käyn treeneissä yleensä","Paras ajoitus olisi (kellonaika) - [puhelin vaakatasoon] [Maanantai]","Paras ajoitus olisi (kellonaika) - [puhelin vaakatasoon] [Tiistai]","Paras ajoitus olisi (kellonaika) - [puhelin vaakatasoon] [Keskiviikko]","Paras ajoitus olisi (kellonaika) - [puhelin vaakatasoon] [Torstai]","Paras ajoitus olisi (kellonaika) - [puhelin vaakatasoon] [Perjantai]","Paras ajoitus olisi (kellonaika) - [puhelin vaakatasoon] [Lauantai]","Paras ajoitus olisi (kellonaika) - [puhelin vaakatasoon] [Sunnuntai]","Treenimääränä minusta olisi optimaalinen","Treenin tehokkuus tulisi olla mielestäni","Treenimaaston tulisi sisältää","Treeneistä tulisi ilmoittaa","Korona on vaikuttanut","Parasta yhteistoimintaa on ollut","Osallistuin paikalliskisaan?","Jos Jyväskylässä järjestettäisiin polkujuoksukisa, niin..."
"2021/12/25 4:55:56 PM GMT+2","40-50","nainen","ultran","viidesti viikossa","","nauttia luonnosta;kehittää nopeuttani juoksijana;tutustua uusiin paikkoihin liikunnan keinoin;voittaa itselleni asettamat haasteet;löytää mahdollisimman paljon polkuja;käydä läpi useita luonnon tarjoamia nähtävyyksiä","läheiset kansallispuistot;polkujuoksu pohjoisessa suomessa","","Joo","ihan sopiva kaikin puolin ja mukava","Laajis;Touruvuori;Halssila;Kanavuori;Kuokkala;Keskusta;Sippulanniemi;Keljonkangas;Myllyjärvi;Mäyrämäki;Muurame;Vaajakoski","omalla autolla","17-19;19-21;>21","17-19;19-21;>21","","17-19;19-21;>21","","10-12;12-15;15-17;17-19;19-21;>21","10-12;12-15;15-17;17-19;19-21;>21","1 h 30 min;2 h;2 h 30 min","peruskestävyys hölkkää niin ettei sykkeet nouse;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä);vetotreenejä;mäkitreeniä;pitkää raastoa;intervalleja","helppoa neulaspolkua;paljon verttimetrejä;rymypätkiä;juurakkoa","viikkoa aiemmin","Ei ole vaikuttanut","Kisamatkat ja yhteismajoitukset;Yhteislenkit;Facebook-läppä","En","Tulisin paikan päälle hengailemaan;Haluaisin toimitsijaksi/talkoolaiseksi;Osallistuisin ehkä, riippuen siitä, millainen kisa. "
"2021/12/25 4:59:14 PM GMT+2","30-40","mies","puolimaratonin","viidesti viikossa","","nauttia luonnosta;kehittää nopeuttani juoksijana;lisätä juoksumatkaa;tutustua uusiin paikkoihin liikunnan keinoin;voittaa itselleni asettamat haasteet;tutustua uusiin ihmisiin ja treenikavereihin;löytää mahdollisimman paljon polkuja;käydä läpi useita luonnon tarjoamia nähtävyyksiä","polkujuoksu pohjoisessa suomessa","Kaverin puute;Ruuhkavuodet","Joo","ihan sopiva kaikin puolin ja mukava","Kanavuori;Vaajakoski","omalla autolla","","","17-19;19-21","17-19;19-21","","","10-12","1 h 30 min","peruskestävyys hölkkää niin ettei sykkeet nouse;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä);vetotreenejä;mäkitreeniä;intervalleja","helppoa neulaspolkua;paljon verttimetrejä","muutama päivä aiemmin riittää;viikkoa aiemmin","Ei ole vaikuttanut","Yhteislenkit","En","Osallistuisin varmasti"
"2021/12/25 5:04:21 PM GMT+2","30-40","mies","ultran","neljästi viikossa","Ei tulosta","nauttia luonnosta;tutustua uusiin ihmisiin ja treenikavereihin;käydä läpi useita luonnon tarjoamia nähtävyyksiä","pidempi yhtenäinen juoksuvaellus;polku- tai vuorijuoksu ulkomailla","Laiskuus","Joo","ihan sopiva kaikin puolin ja mukava","Keljonkangas;Muurame","pyörällä","19-21","19-21","19-21","19-21","","","15-17","45 min","maltillinen hölkkä hitaimman mukaan","rymypätkiä;kivikkoa;juurakkoa","muutama päivä aiemmin riittää","En ole uskaltanut osallistua","Yhteislenkit;Juoksukaverit","En","Osallistuisin varmasti"
"2021/12/25 5:06:25 PM GMT+2","50-60","nainen","maratonin;ultran","12 kertaa viikossa","2400m","nauttia luonnosta;kehittää nopeuttani juoksijana;tutustua uusiin paikkoihin liikunnan keinoin;voittaa itselleni asettamat haasteet;päästä podiumille;tutustua uusiin ihmisiin ja treenikavereihin;löytää mahdollisimman paljon polkuja;käydä läpi useita luonnon tarjoamia nähtävyyksiä","pidempi yhtenäinen juoksuvaellus;kisaaminen;polkujuoksu pohjoisessa suomessa;polku- tai vuorijuoksu ulkomailla","Määrärahojen puute;Ajanpuute;ITRA pisteet;Laiskuus","Joo","ihan sopiva kaikin puolin ja mukava;liian hidas;liian lyhyt;ihme rymyämistä;liikaa kävelyä;kengät kastui;Lenkkejä oli liian vähän","Kaikki käy","pyörällä;toisen kyydillä;omalla autolla","15-17;17-19","15-17;17-19","15-17;17-19","15-17;17-19","15-17;17-19","10-12;12-15;15-17","","1 h 30 min;2 h;2 h 30 min","peruskestävyys hölkkää niin ettei sykkeet nouse;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä);vetotreenejä;mäkitreeniä;pitkää raastoa;intervalleja","helppoa neulaspolkua;vain pieniä mäkiä;paljon verttimetrejä;nelivetopaikkoja;rymypätkiä;kivikkoa;juurakkoa;suota","edellisenä päivänä;muutama päivä aiemmin riittää","Ei ole vaikuttanut","Yhteislenkit;Juoksukaverit;Pikkujoulut;Facebook-läppä;Juoksublogit tai tarinat","","Osallistuisin varmasti"
"2021/12/25 5:15:58 PM GMT+2","40-50","nainen","ultran","kuudesti viikossa","Ei tulosta","nauttia luonnosta;lisätä juoksumatkaa;tutustua uusiin paikkoihin liikunnan keinoin;voittaa itselleni asettamat haasteet;löytää mahdollisimman paljon polkuja;käydä läpi useita luonnon tarjoamia nähtävyyksiä","uskaltaa juosta lähimetsän ulkopuolella ilman kaveria;pidempi yhtenäinen juoksuvaellus;polku- tai vuorijuoksu ulkomailla","En uskalla kulkea uusilla reiteillä yksin;Ajanpuute;ITRA pisteet;Kaverin puute;Laiskuus;Ruuhkavuodet","Joo","ihan sopiva kaikin puolin ja mukava","Laajis;Touruvuori;Halssila;Kanavuori;Kuokkala;Keskusta;Sippulanniemi;Keljonkangas;Myllyjärvi;Mäyrämäki;Muurame;Vaajakoski","omalla autolla","17-19;19-21","17-19;19-21","17-19;19-21","","19-21","","","1 h;1 h 30 min;2 h","sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä);vetotreenejä;mäkitreeniä;pitkää raastoa;intervalleja","helppoa neulaspolkua;paljon verttimetrejä;nelivetopaikkoja;rymypätkiä;kivikkoa;juurakkoa;suota","kuukausi etukäteen","Ei ole vaikuttanut","Yhteislenkit;Juoksukaverit;Facebook-läppä;Juoksublogit tai tarinat","Kyllä","Osallistuisin varmasti;Aikataulut ajoissa selvillä niin kolmivuorotyön kanssa onnistuu"
"2021/12/25 5:26:11 PM GMT+2","30-40","mies","puolimaratonin","neljästi viikossa","2300m","nauttia luonnosta;tutustua uusiin paikkoihin liikunnan keinoin;tutustua uusiin ihmisiin ja treenikavereihin;löytää mahdollisimman paljon polkuja;käydä läpi useita luonnon tarjoamia nähtävyyksiä","läheiset kansallispuistot;pidempi yhtenäinen juoksuvaellus","Kaverin puute;Laiskuus","Joo","ihan sopiva kaikin puolin ja mukava;ihme rymyämistä","Laajis;Touruvuori;Halssila;Kanavuori;Sippulanniemi;Keljonkangas;Myllyjärvi;Mäyrämäki;Muurame;Vaajakoski","omalla autolla","17-19;19-21","17-19;19-21","17-19;19-21","17-19;19-21","17-19;19-21","7-10;10-12;12-15;15-17;17-19;19-21","7-10;10-12;15-17;17-19;19-21","1 h;1 h 30 min;2 h","maltillinen hölkkä hitaimman mukaan;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä);mäkitreeniä","helppoa neulaspolkua;vain pieniä mäkiä;paljon verttimetrejä;nelivetopaikkoja;rymypätkiä;kivikkoa;juurakkoa;suota","muutama päivä aiemmin riittää","Ei ole vaikuttanut","Yhteislenkit","Kyllä","Osallistuisin varmasti;Tulisin paikan päälle hengailemaan"
"2021/12/25 5:31:36 PM GMT+2","40-50","mies","maratonin","kolmesti viikossa","3000m","nauttia luonnosta;kehittää nopeuttani juoksijana;tutustua uusiin paikkoihin liikunnan keinoin;käydä läpi useita luonnon tarjoamia nähtävyyksiä","polku- tai vuorijuoksu ulkomailla","Ajanpuute;Covid","Joo","ihan sopiva kaikin puolin ja mukava","","","","","","","","","","1 h;1 h 30 min;2 h;2 h 30 min;yli 3 h","","","","","Kisamatkat ja yhteismajoitukset;Yhteislenkit;Juoksukaverit;Pikkujoulut","Kyllä","Osallistuisin varmasti;Tulisin paikan päälle hengailemaan"
"2021/12/25 5:40:57 PM GMT+2","30-40","nainen","puolimaratonin","viidesti viikossa","Ei tulosta","nauttia luonnosta;kehittää nopeuttani juoksijana;lisätä juoksumatkaa","läheiset kansallispuistot","Ajanpuute;Ruuhkavuodet","Joo","ihan sopiva kaikin puolin ja mukava","Kanavuori;Vaajakoski","juoksen alkulämpät","","","17-19","","","10-12","10-12","2 h","peruskestävyys hölkkää niin ettei sykkeet nouse;mäkitreeniä","","muutama päivä aiemmin riittää","Ei ole vaikuttanut","Facebook-läppä;Juoksublogit tai tarinat;Vinkit","Kyllä","Osallistuisin varmasti"
"2021/12/25 5:56:19 PM GMT+2","60-90","nainen","ultran","seitsemästi viikossa","2300m","nauttia luonnosta;kehittää nopeuttani juoksijana;lisätä juoksumatkaa;tutustua uusiin paikkoihin liikunnan keinoin;voittaa itselleni asettamat haasteet;tutustua uusiin ihmisiin ja treenikavereihin;löytää mahdollisimman paljon polkuja;käydä läpi useita luonnon tarjoamia nähtävyyksiä","läheiset kansallispuistot;pidempi yhtenäinen juoksuvaellus;kisaaminen;polkujuoksu pohjoisessa suomessa;polku- tai vuorijuoksu ulkomailla","Määrärahojen puute;Kulkuyhteydet","Joo","ihan sopiva kaikin puolin ja mukava","Laajis;Touruvuori;Kanavuori;Kuokkala;Keskusta;Sippulanniemi;Keljonkangas;Myllyjärvi;Mäyrämäki;Muurame;Vaajakoski;Kaikki","omalla autolla","","","17-19","","17-19","10-12","7-10","2 h","maltillinen hölkkä hitaimman mukaan;peruskestävyys hölkkää niin ettei sykkeet nouse;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä);vetotreenejä;mäkitreeniä;pitkää raastoa;intervalleja","helppoa neulaspolkua;paljon verttimetrejä;nelivetopaikkoja;rymypätkiä","muutama päivä aiemmin riittää","Ei ole vaikuttanut","Kisamatkat ja yhteismajoitukset;Yhteislenkit;Juoksukaverit;Pikkujoulut;Facebook-läppä;Juoksublogit tai tarinat","Kyllä","Osallistuisin varmasti;Tulisin paikan päälle hengailemaan"
"2021/12/25 6:02:41 PM GMT+2","40-50","nainen","ultran","viidesti viikossa","2800m","nauttia luonnosta;tutustua uusiin paikkoihin liikunnan keinoin;voittaa itselleni asettamat haasteet;tutustua uusiin ihmisiin ja treenikavereihin;käydä läpi useita luonnon tarjoamia nähtävyyksiä","polku- tai vuorijuoksu ulkomailla","On olemassa muitakin haaveita ","Joo","ihan sopiva kaikin puolin ja mukava","Touruvuori;Halssila;Kanavuori;Keskusta;Vaajakoski","juoksen alkulämpät;pyörällä;omalla autolla","","17-19","17-19","17-19","17-19","17-19","17-19","1 h;1 h 30 min","sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä);mäkitreeniä","helppoa neulaspolkua;paljon verttimetrejä;rymypätkiä;kivikkoa;juurakkoa","muutama päivä aiemmin riittää","","Kisamatkat ja yhteismajoitukset;Yhteislenkit;Juoksukaverit;Juoksublogit tai tarinat","En",""
"2021/12/25 6:08:21 PM GMT+2","40-50","nainen","puolimaratonin","kuudesti viikossa","3000m","lisätä juoksumatkaa;tutustua uusiin paikkoihin liikunnan keinoin;tutustua uusiin ihmisiin ja treenikavereihin","läheiset kansallispuistot;pidempi yhtenäinen juoksuvaellus;kisaaminen;polkujuoksu pohjoisessa suomessa","Ajanpuute;Ruuhkavuodet","Joo","ihan sopiva kaikin puolin ja mukava","Laajis;Keskusta","juoksen alkulämpät;toisen kyydillä;omalla autolla","17-19","5-7;17-19","5-7;17-19","5-7;17-19","5-7","10-12","10-12","1 h 30 min;2 h","peruskestävyys hölkkää niin ettei sykkeet nouse;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä);vetotreenejä;mäkitreeniä","helppoa neulaspolkua;rymypätkiä","muutama päivä aiemmin riittää;viikkoa aiemmin","Ei ole vaikuttanut","Yhteislenkit;Pikkujoulut;Facebook-läppä","Kyllä","Osallistuisin varmasti"
"2021/12/25 6:10:50 PM GMT+2","50-60","mies","ultran","9 kertaa viikossa","Ei tulosta","nauttia luonnosta;tutustua uusiin paikkoihin liikunnan keinoin;voittaa itselleni asettamat haasteet;tutustua uusiin ihmisiin ja treenikavereihin;löytää mahdollisimman paljon polkuja;käydä läpi useita luonnon tarjoamia nähtävyyksiä","uskaltaa juosta lähimetsän ulkopuolella ilman kaveria;polkujuoksu pohjoisessa suomessa","Määrärahojen puute;Ajanpuute;Laiskuus;Elämäntilanne vaikkei ruuhkavuodet","Joo","ihan sopiva kaikin puolin ja mukava;Aika monta erilaista. Mutta hyviä kaikki","Touruvuori;Halssila;Kanavuori;Kuokkala;Keskusta;Sippulanniemi;Keljonkangas;Myllyjärvi;Mäyrämäki;Vaajakoski","pyörällä;omalla autolla","17-19","","17-19","17-19","","","","1 h 30 min","maltillinen hölkkä hitaimman mukaan;peruskestävyys hölkkää niin ettei sykkeet nouse;mäkitreeniä;intervalleja","kivikkoa;juurakkoa","edellisenä päivänä;muutama päivä aiemmin riittää","Ei ole vaikuttanut","Kisamatkat ja yhteismajoitukset;Yhteislenkit;Juoksukaverit;Pikkujoulut;Facebook-läppä","En","Tulisin paikan päälle hengailemaan;Haluaisin toimitsijaksi/talkoolaiseksi"
"2021/12/25 6:43:43 PM GMT+2","40-50","mies","10km lenkin","seitsemästi viikossa","2800m","nauttia luonnosta;kehittää nopeuttani juoksijana;lisätä juoksumatkaa;tutustua uusiin paikkoihin liikunnan keinoin;voittaa itselleni asettamat haasteet;tutustua uusiin ihmisiin ja treenikavereihin","läheiset kansallispuistot;polkujuoksu pohjoisessa suomessa","Ruuhkavuodet;Työ on vaativaa ja usein puhti pois.","Joo","ihan sopiva kaikin puolin ja mukava","Laajis;Touruvuori;Halssila;Kanavuori;Kuokkala;Keskusta;Sippulanniemi;Keljonkangas;Myllyjärvi;Mäyrämäki;Vaajakoski","pyörällä;omalla autolla","17-19;19-21","17-19;19-21","17-19;19-21","17-19;19-21","","10-12;12-15","10-12;12-15","1 h;1 h 30 min","sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä)","","viikkoa aiemmin","Ei ole vaikuttanut","Yhteislenkit;Juoksukaverit","En","Tulisin paikan päälle hengailemaan"
"2021/12/25 7:12:55 PM GMT+2","50-60","mies","puolimaratonin","kolmesti viikossa","","kehittää nopeuttani juoksijana;lisätä juoksumatkaa;voittaa itselleni asettamat haasteet;löytää mahdollisimman paljon polkuja","pidempi yhtenäinen juoksuvaellus;kisaaminen;polkujuoksu pohjoisessa suomessa","Ajanpuute;Laiskuus","Joo","liian lyhyt","","omalla autolla","17-19","17-19","17-19","17-19","17-19","10-12;12-15;15-17","10-12;12-15;15-17","yli 3 h","sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä)","paljon verttimetrejä;nelivetopaikkoja;rymypätkiä;kivikkoa;juurakkoa;suota","muutama päivä aiemmin riittää","Ei ole vaikuttanut","Yhteislenkit;Juoksukaverit","Kyllä","Osallistuisin varmasti"
